PV (kWh),Load (kWh),Price ($/kWh)
0.0,1632.0,0.5669
0.0,1515.0,0.5448
0.0,1440.0,0.5115999999999999
0.0,1408.5,0.4613
0.0,1392.0,0.4293
0.0,1397.0,0.4239
0.0,1448.5,0.4363
0.0,1596.0,0.4775
0.0,1832.5,0.6256
139.5,1907.0,0.7503
636.0,1908.5,0.7524
1286.5,1909.0,0.7888
1870.5,1915.5,0.7775
2274.0,1890.0,0.7608
2423.0,1862.0,0.7128
2336.5,1843.0,0.6652
2038.5,1820.5,0.6638
1607.0,1821.0,0.6689
1111.0,1880.0,0.8009999999999999
601.0,2041.5,0.8744
177.5,2090.5,0.9205
0.0,2057.5,0.818
0.0,1981.0,0.7776000000000001
0.0,1863.0,0.7288
0.0,1713.0,0.66
0.0,1585.0,0.6004
0.0,1501.5,0.5757
0.0,1463.5,0.5367000000000001
0.0,1451.5,0.5285
0.0,1457.5,0.5315
0.0,1500.0,0.5323
0.0,1644.5,0.5661999999999999
0.0,1875.5,0.7494
139.5,1962.5,0.8402
636.0,1960.5,0.8266
1286.5,1942.5,0.8578
1870.5,1921.5,0.8205
2274.0,1885.5,0.8731
2423.0,1856.5,0.7526
2336.5,1842.5,0.6934999999999999
2038.5,1810.5,0.6859000000000001
1607.0,1803.0,0.6873999999999999
1111.0,1841.0,0.7942
601.0,1979.0,0.899
177.5,2000.0,0.9143
0.0,1941.0,0.8475
0.0,1885.0,0.7972
0.0,1783.5,0.7292000000000001
0.0,1655.5,0.6888
0.0,1533.5,0.603
0.0,1454.5,0.5022
0.0,1404.5,0.4551
0.0,1380.5,0.4371
0.0,1376.0,0.441
0.0,1400.0,0.4341
0.0,1461.5,0.4596
0.0,1574.5,0.5133
139.5,1689.5,0.5015
636.0,1796.5,0.551
1286.5,1840.5,0.6114
1870.5,1830.5,0.6265999999999999
2274.0,1806.5,0.66
2423.0,1775.5,0.5590999999999999
2336.5,1748.0,0.5416
2038.5,1747.5,0.5069
1607.0,1756.0,0.5067
1111.0,1847.0,0.5498
601.0,1974.5,0.7824
177.5,1962.5,0.7951
0.0,1877.5,0.6868000000000001
0.0,1792.5,0.66
0.0,1681.5,0.5428000000000001
0.0,1542.0,0.5343
0.0,1416.0,0.5088
0.0,1331.5,0.495
0.0,1279.5,0.4304
0.0,1252.5,0.3887
0.0,1240.0,0.3904
0.0,1261.0,0.3986
0.0,1299.0,0.3987
0.0,1381.0,0.4365
139.5,1477.0,0.4048
636.0,1596.0,0.4486
1286.5,1671.0,0.5146999999999999
1870.5,1706.5,0.5702
2274.0,1714.0,0.5966
2423.0,1709.0,0.5624
2336.5,1695.0,0.542
2038.5,1680.5,0.526
1607.0,1682.5,0.5297
1111.0,1759.5,0.5271
601.0,1924.0,0.6923
177.5,1907.0,0.7434000000000001
0.0,1807.0,0.6551
0.0,1726.0,0.6346
0.0,1619.5,0.5505
0.0,1505.0,0.5264
0.0,1392.5,0.5212
0.0,1306.0,0.4691
0.0,1262.5,0.4201
0.0,1259.0,0.4006
0.0,1256.5,0.4002000000000001
0.0,1311.5,0.3782
0.0,1461.5,0.477
0.0,1714.5,0.6607
139.5,1815.5,0.6857
636.0,1838.5,0.7101000000000001
1286.5,1843.5,0.7354999999999999
1870.5,1837.0,0.8925
2274.0,1836.5,0.9376
2423.0,1812.5,0.848
2336.5,1799.0,0.7134
2038.5,1780.5,0.6966
1607.0,1779.5,0.7155
1111.0,1849.0,0.9866
601.0,1996.5,1.2762
177.5,2003.5,1.0574
0.0,1950.0,0.7684000000000001
0.0,1854.5,0.7136
0.0,1711.0,0.6198
0.0,1538.5,0.5697
0.0,1410.5,0.5342
0.0,1327.5,0.4544
0.0,1280.0,0.4096
0.0,1264.0,0.3991
0.0,1265.0,0.3949
0.0,1310.5,0.4003
0.0,1452.5,0.459
0.0,1685.5,0.6323
139.5,1772.0,0.667
636.0,1810.0,0.6729999999999999
1286.5,1821.0,0.6843
1870.5,1834.5,0.7264
